name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
mumbai,2024-04-08,32,25,28.7,38.3,25,32.4,23.7,75.2,0,0,0,,0,0,31.7,22.3,270.7,1008.5,2.9,3.3,304.8,26.3,10,8,2024-04-08T06:26:48,2024-04-08T18:54:24,0,Clear,Clear conditions throughout the day.,clear-day,"43058099999,VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,2024-04-09,33,25.4,29.2,38.4,25.4,33.5,23.9,74.7,0,0,0,,0,0,31.7,24.1,277.9,1008.6,10.3,3.1,304.8,26.3,10,5,2024-04-09T06:26:00,2024-04-09T18:54:39,0.02,Clear,Clear conditions throughout the day.,clear-day,"VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,2024-04-10,32,26.2,28.8,38.7,26.2,33.5,24.7,79.2,0,0,0,,0,0,30.6,20.5,276.4,1008.9,15.6,3.1,301.5,25.8,10,15,2024-04-10T06:25:13,2024-04-10T18:54:55,0.05,Clear,Clear conditions throughout the day.,clear-day,"43058099999,VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,2024-04-11,33.4,26,29.2,37.4,26,32.5,22.7,69.3,0,0,0,,0,0,29.5,18.4,276.2,1009.2,24.6,3.1,296.6,25.6,10,10,2024-04-11T06:24:26,2024-04-11T18:55:10,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,2024-04-12,32,26.4,29,35.8,26.4,31.6,21.9,66.8,0,0,0,,0,0,30.2,21.8,288.1,1009.2,19,3.2,303.3,26.2,10,10,2024-04-12T06:23:39,2024-04-12T18:55:26,0.12,Clear,Clear conditions throughout the day.,clear-day,"43058099999,VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,2024-04-13,31.4,25.4,28.4,34.4,25.4,30.6,21.8,68.2,0,0,0,,0,0,33.5,20.5,286.7,1009.9,26.9,3.6,305.1,26.5,10,10,2024-04-13T06:22:53,2024-04-13T18:55:41,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VABB,VAJJ,AUBD,43003099999,43057099999,43060099999"
mumbai,2024-04-14,31.8,24.8,28.7,36.9,24.8,32.1,23,72.1,0,0,0,,0,0,34.6,21.1,298.8,1010.3,20.8,3.4,305.1,26.2,10,15,2024-04-14T06:22:07,2024-04-14T18:55:57,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,2024-04-15,35.9,27.2,31.6,44.5,30.6,37.8,24.6,67.9,0,0,0,,0,0,31,18.7,311.4,1009.4,13.3,3.1,296.5,25.5,10,38,2024-04-15T06:21:22,2024-04-15T18:56:13,0.21,Clear,Clear conditions throughout the day.,clear-day,"43058099999,VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,2024-04-16,38,29.1,33.8,44.5,35,39.3,23.1,56.3,0,0,0,,0,0,31,22.3,300.7,1007.8,12.8,5.8,283.5,24.5,9,30,2024-04-16T06:20:38,2024-04-16T18:56:30,0.25,Clear,Clear conditions throughout the day.,clear-day,"VABB,43003099999,remote"
mumbai,2024-04-17,33,29.1,30.1,43.9,36.4,38.7,26.8,82.5,0,0,0,,0,0,34.6,24.8,212.2,1008.6,21.8,10.1,266.5,23.1,9,38,2024-04-17T06:19:54,2024-04-17T18:56:46,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VABB,43003099999,remote"
mumbai,2024-04-18,33,29,30.8,45.8,33.8,38.8,25.8,76,0,0,0,,0,0,33.5,22.3,270.6,1007.9,34.8,5.5,290.5,25.1,9,30,2024-04-18T06:19:10,2024-04-18T18:57:03,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VABB,43003099999,remote"
mumbai,2024-04-19,33.5,29,30.7,41.9,32,36,24,67.9,0,0,0,,0,0,35.6,24.1,276.4,1006.8,25,7.6,269.5,23.3,9,30,2024-04-19T06:18:27,2024-04-19T18:57:20,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43058099999,VABB,VAJJ,43003099999,43057099999,remote,43060099999"
mumbai,2024-04-20,34,28.8,31,40.8,32,34.9,22.3,60.5,0,0,0,,0,0,38.5,18.4,296.8,1007,29.3,3.1,276,23.7,9,60,2024-04-20T06:17:45,2024-04-20T18:57:37,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VABB,VAJJ,43003099999,43057099999,43060099999"
